date,superbowl,site,winner,winnerscore,loser,loserscore,mvp,winningcoach
1967-01-15,I,Los Angeles Memorial Coliseum,Green Bay Packers,35,Kansas City Chiefs,10,Bart Starr,Vince Lombardi
1968-01-14,II,Orange Bowl (Miami),Green Bay Packers,33,Oakland Raiders,14,Bart Starr,Vince Lombardi
1969-01-12,III,Orange Bowl (Miami),New York Jets,16,Baltimore Colts,7,Joe Namath,Weeb Ewbank
1970-01-11,IV,Tulane Stadium (New Orleans),Kansas City Chiefs,23,Minnesota Vikings,7,Len Dawson,Hank Stram
1971-01-17,V,Orange Bowl (Miami),Baltimore Colts,16,Dallas Cowboys,13,Chuck Howley,Don McCafferty
1972-01-16,VI,Tulane Stadium (New Orleans),Dallas Cowboys,24,Miami Dolphins,3,Roger Staubach,Tom Landry
1973-01-14,VII,Los Angeles Memorial Coliseum,Miami Dolphins,14,Washington Redskins,7,Jake Scott,Don Shula
1974-01-13,VIII,Rice Stadium (Houston),Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka,Don Shula
1975-01-12,IX,Tulane Stadium (New Orleans),Pittsburgh Steelers,16,Minnesota Vikings,6,Franco Harris,Chuck Noll
1976-01-18,X,Orange Bowl (Miami),Pittsburgh Steelers,21,Dallas Cowboys,17,Lynn Swann,Chuck Noll
1977-01-09,XI,Rose Bowl (Pasadena),Oakland Raiders,32,Minnesota Vikings,14,Fred Biletnikoff,John Madden
1978-01-15,XII,Superdome (New Orleans),Dallas Cowboys,27,Denver Broncos,10,Harvey Martin & Randy White,Tom Landry
1979-01-21,XIII,Orange Bowl (Miami),Pittsburgh Steelers,35,Dallas Cowboys,31,Terry Bradshaw,Chuck Noll
1980-01-20,XIV,Rose Bowl (Pasadena),Pittsburgh Steelers,31,Los Angeles Rams,19,Terry Bradshaw,Chuck Noll
1981-01-25,XV,Superdome (New Orleans),Oakland Raiders,27,Philadelphia Eagles,10,Jim Plunkett,Tom Flores
1982-01-24,XVI,Silverdome (Pontiac),San Francisco 49ers,26,Cincinnati Bengals,21,Joe Montana,Bill Walsh
1983-01-30,XVII,Rose Bowl (Pasadena),Washington Redskins,27,Miami Dolphins,17,John Riggins,Joe Gibbs
1984-01-22,XVIII,Tampa (Fla.) Stadium,Los Angeles Raiders,38,Washington Redskins,9,Marcus Allen,Tom Flores
1985-01-20,XIX,Stanford (Calif.) Stadium,San Francisco 49ers,38,Miami Dolphins,16,Joe Montana,Bill Walsh
1986-01-26,XX,Superdome (New Orleans),Chicago Bears,46,New England Patriots,10,Richard Dent,Mike Ditka
1987-01-25,XXI,Rose Bowl (Pasadena),New York Giants,39,Denver Broncos,20,Phil Simms,Bill Parcells
1988-01-31,XXII,Jack Murphy Stadium (San Diego),Washington Redskins,42,Denver Broncos,10,Doug Williams,Joe Gibbs
1989-01-22,XXIII,Joe Robbie Stadium (Miami),San Francisco 49ers,20,Cincinnati Bengals,16,Jerry Rice,Bill Walsh
1990-01-28,XXIV,Superdome (New Orleans),San Francisco 49ers,55,Denver,10,Joe Montana,George Seifert
1991-01-27,XXV,Tampa (Fla.) Stadium,New York Giants,20,Buffalo Bills,19,Ottis Anderson,Bill Parcells
1992-01-26,XXVI,Metrodome (Minneapolis),Washington Redskins,37,Buffalo Bills,24,Mark Rypien,Joe Gibbs
1993-01-31,XXVII,Rose Bowl (Pasadena),Dallas Cowboys,52,Buffalo Bills,17,Troy Aikman,Jimmy Johnson
